index1,name,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
273,tsy_5yr_yield_times_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
274,tsy_5yr_yield_div_real_estate_loans_1yr_diff_ewma_trim_t,16.4901,0.0002,15.7899,0.0002
275,tsy_5yr_yield_div_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
276,tsy_5yr_yield_times_foreign_dir_invest_1yr_diff_ewma_trim_t,18.2527,0.0001,16.467,0.0002
277,tsy_5yr_yield_times_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
278,tsy_5yr_yield_div_foreign_dir_invest_1yr_diff_ewma_trim_t,15.7752,0.0002,12.915,0.0008
279,tsy_5yr_yield_div_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
280,tsy_5yr_yield_times_tax_receipts_corp_1yr_diff_ewma_trim_t,14.5204,0.0004,9.6693,0.0031
281,tsy_5yr_yield_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
282,tsy_5yr_yield_div_tax_receipts_corp_1yr_diff_ewma_trim_t,20.1457,0.0,22.249,0.0
283,tsy_5yr_yield_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
284,tsy_3mo_yield_times_unempl_rate_ewma_trim_t,32.4585,0.0,23.2814,0.0
285,tsy_3mo_yield_times_unempl_rate_ewma_trim_isnull,,,,
286,tsy_3mo_yield_div_unempl_rate_ewma_trim_t,39.2114,0.0,28.8291,0.0
287,tsy_3mo_yield_div_unempl_rate_ewma_trim_isnull,,,,
288,tsy_3mo_yield_times_sp500_peratio_ewma_trim_t,36.7782,0.0,26.7904,0.0
289,tsy_3mo_yield_times_sp500_peratio_ewma_trim_isnull,,,,
290,tsy_3mo_yield_div_sp500_peratio_ewma_trim_t,36.391,0.0,26.59,0.0
291,tsy_3mo_yield_div_sp500_peratio_ewma_trim_isnull,,,,
292,tsy_3mo_yield_times_capacity_util_mfg_ewma_trim_t,36.5714,0.0,26.6443,0.0
293,tsy_3mo_yield_times_capacity_util_mfg_ewma_trim_isnull,,,,
